role,energy_grid,emissions,workload,CPU_model,GPU_model,CPU_used,GPU_used,energy_consumed,sample_size
client,32.865528742507365,1.0235031900443453e-07,training,Intel(R) Core(TM) i7-8650U CPU @ 1.90GHz,,True,False,3.114214890815295e-06,106.0
client,32.865528742507365,5.7402561799176754e-08,training,Intel(R) Core(TM) i7-8650U CPU @ 1.90GHz,,True,False,1.7465887206291575e-06,98.0
client,32.865528742507365,6.527217498622857e-08,training,Intel(R) Core(TM) i7-8650U CPU @ 1.90GHz,,True,False,1.9860375744330365e-06,105.0
client,32.865528742507365,5.6492666305856935e-08,training,Intel(R) Core(TM) i7-8650U CPU @ 1.90GHz,,True,False,1.7189033150344813e-06,100.0
client,32.865528742507365,5.6550754928201615e-08,training,Intel(R) Core(TM) i7-8650U CPU @ 1.90GHz,,True,False,1.7206707785309543e-06,90.0
client,32.865528742507365,5.43572240598752e-08,training,Intel(R) Core(TM) i7-8650U CPU @ 1.90GHz,,True,False,1.6539281776279798e-06,90.0
server,32.865528742507365,9.92162072261276e-09,aggregation,Intel(R) Core(TM) i7-8650U CPU @ 1.90GHz,,True,False,3.018853218624903e-07,0.0
client,32.865528742507365,5.5587708250014024e-08,training,Intel(R) Core(TM) i7-8650U CPU @ 1.90GHz,,True,False,1.691368140933586e-06,90.0
client,32.865528742507365,6.792994270982123e-08,training,Intel(R) Core(TM) i7-8650U CPU @ 1.90GHz,,True,False,2.066905517998332e-06,106.0
client,32.865528742507365,6.018780082878214e-08,training,Intel(R) Core(TM) i7-8650U CPU @ 1.90GHz,,True,False,1.831335235782679e-06,100.0
client,32.865528742507365,5.7982109115356095e-08,training,Intel(R) Core(TM) i7-8650U CPU @ 1.90GHz,,True,False,1.7642226166397753e-06,89.0
client,32.865528742507365,5.908718006032932e-08,training,Intel(R) Core(TM) i7-8650U CPU @ 1.90GHz,,True,False,1.7978466290094273e-06,98.0
client,32.865528742507365,6.343344800516766e-08,training,Intel(R) Core(TM) i7-8650U CPU @ 1.90GHz,,True,False,1.9300905974205307e-06,105.0
server,32.865528742507365,9.93656870469528e-09,aggregation,Intel(R) Core(TM) i7-8650U CPU @ 1.90GHz,,True,False,3.023401443666292e-07,0.0
client,32.865528742507365,5.3376366298186566e-08,training,Intel(R) Core(TM) i7-8650U CPU @ 1.90GHz,,True,False,1.6240836018910915e-06,90.0
client,32.865528742507365,5.674027378405936e-08,training,Intel(R) Core(TM) i7-8650U CPU @ 1.90GHz,,True,False,1.7264372719697954e-06,98.0
client,32.865528742507365,6.680964166017521e-08,training,Intel(R) Core(TM) i7-8650U CPU @ 1.90GHz,,True,False,2.032818098975705e-06,105.0
client,32.865528742507365,5.4499370100607545e-08,training,Intel(R) Core(TM) i7-8650U CPU @ 1.90GHz,,True,False,1.6582532576182036e-06,89.0
client,32.865528742507365,6.795092944674253e-08,training,Intel(R) Core(TM) i7-8650U CPU @ 1.90GHz,,True,False,2.0675440817982843e-06,106.0
client,32.865528742507365,6.679650857039156e-08,training,Intel(R) Core(TM) i7-8650U CPU @ 1.90GHz,,True,False,2.0324184982303e-06,105.0
server,32.865528742507365,8.840523202533323e-09,aggregation,Intel(R) Core(TM) i7-8650U CPU @ 1.90GHz,,True,False,2.6899074929834416e-07,0.0
client,32.865528742507365,6.126149263698097e-08,training,Intel(R) Core(TM) i7-8650U CPU @ 1.90GHz,,True,False,1.8640044746259336e-06,100.0
client,32.865528742507365,5.795444199049767e-08,training,Intel(R) Core(TM) i7-8650U CPU @ 1.90GHz,,True,False,1.7633807885628508e-06,90.0
client,32.865528742507365,6.690242808847164e-08,training,Intel(R) Core(TM) i7-8650U CPU @ 1.90GHz,,True,False,2.035641313201874e-06,108.0
client,32.865528742507365,5.8160326678678734e-08,training,Intel(R) Core(TM) i7-8650U CPU @ 1.90GHz,,True,False,1.7696452454591356e-06,95.0
client,32.865528742507365,5.585355186895119e-08,training,Intel(R) Core(TM) i7-8650U CPU @ 1.90GHz,,True,False,1.6994569692320738e-06,89.0
client,32.865528742507365,6.597580172249957e-08,training,Intel(R) Core(TM) i7-8650U CPU @ 1.90GHz,,True,False,2.00744683706148e-06,105.0
server,32.865528742507365,7.813823543588668e-09,aggregation,Intel(R) Core(TM) i7-8650U CPU @ 1.90GHz,,True,False,2.377513413767929e-07,0.0
client,32.865528742507365,5.5794027459988814e-08,training,Intel(R) Core(TM) i7-8650U CPU @ 1.90GHz,,True,False,1.6976458190318528e-06,90.0
client,32.865528742507365,5.5784616584731046e-08,training,Intel(R) Core(TM) i7-8650U CPU @ 1.90GHz,,True,False,1.6973594741709044e-06,90.0
client,32.865528742507365,5.69511680795746e-08,training,Intel(R) Core(TM) i7-8650U CPU @ 1.90GHz,,True,False,1.7328541562733336e-06,98.0
client,32.865528742507365,5.583971765925052e-08,training,Intel(R) Core(TM) i7-8650U CPU @ 1.90GHz,,True,False,1.699036035499072e-06,100.0
