role,energy_grid,emissions,workload,CPU_model,GPU_model,CPU_used,GPU_used,energy_consumed,sample_size
client,32.865528742507365,7.697487345406882e-08,training,Intel(R) Core(TM) i7-8650U CPU @ 1.90GHz,,True,False,2.342115779032383e-06,106.0
client,32.865528742507365,5.980970100587304e-08,training,Intel(R) Core(TM) i7-8650U CPU @ 1.90GHz,,True,False,1.8198307860636e-06,98.0
client,32.865528742507365,6.930127256667306e-08,training,Intel(R) Core(TM) i7-8650U CPU @ 1.90GHz,,True,False,2.1086309947918377e-06,105.0
client,32.865528742507365,6.034906163045701e-08,training,Intel(R) Core(TM) i7-8650U CPU @ 1.90GHz,,True,False,1.8362419209280272e-06,100.0
client,32.865528742507365,5.6158146266398935e-08,training,Intel(R) Core(TM) i7-8650U CPU @ 1.90GHz,,True,False,1.7087248681249889e-06,90.0
client,32.865528742507365,5.5845589901542886e-08,training,Intel(R) Core(TM) i7-8650U CPU @ 1.90GHz,,True,False,1.6992147103148152e-06,90.0
client,32.865528742507365,6.802904080678528e-08,training,Intel(R) Core(TM) i7-8650U CPU @ 1.90GHz,,True,False,2.0699207774740104e-06,95.0
client,32.865528742507365,7.651836851696702e-08,training,Intel(R) Core(TM) i7-8650U CPU @ 1.90GHz,,True,False,2.3282256955750805e-06,105.0
client,32.865528742507365,6.691221888093943e-08,training,Intel(R) Core(TM) i7-8650U CPU @ 1.90GHz,,True,False,2.03593921781021e-06,89.0
client,32.865528742507365,8.25254289453514e-08,training,Intel(R) Core(TM) i7-8650U CPU @ 1.90GHz,,True,False,2.511002625027459e-06,108.0
server,32.865528742507365,1.2388413598649296e-08,aggregation,Intel(R) Core(TM) i7-8650U CPU @ 1.90GHz,,True,False,3.769424705048626e-07,0.0
client,32.865528742507365,5.90826845624744e-08,training,Intel(R) Core(TM) i7-8650U CPU @ 1.90GHz,,True,False,1.7977098444200124e-06,90.0
client,32.865528742507365,9.457920607298448e-08,training,Intel(R) Core(TM) i7-8650U CPU @ 1.90GHz,,True,False,2.8777631059578347e-06,106.0
client,32.865528742507365,1.3436623702948317e-07,training,Intel(R) Core(TM) i7-8650U CPU @ 1.90GHz,,True,False,4.088363771117353e-06,100.0
client,32.865528742507365,9.973648525382512e-08,training,Intel(R) Core(TM) i7-8650U CPU @ 1.90GHz,,True,False,3.034683726990484e-06,89.0
client,32.865528742507365,1.1355719207765173e-07,training,Intel(R) Core(TM) i7-8650U CPU @ 1.90GHz,,True,False,3.455206607730001e-06,98.0
client,32.865528742507365,7.653562469967946e-08,training,Intel(R) Core(TM) i7-8650U CPU @ 1.90GHz,,True,False,2.3287507497389016e-06,105.0
client,32.865528742507365,6.459670288566458e-08,training,Intel(R) Core(TM) i7-8650U CPU @ 1.90GHz,,True,False,1.965484973382369e-06,105.0
client,32.865528742507365,5.302062858245543e-08,training,Intel(R) Core(TM) i7-8650U CPU @ 1.90GHz,,True,False,1.6132595643860742e-06,90.0
client,32.865528742507365,5.5172236755070264e-08,training,Intel(R) Core(TM) i7-8650U CPU @ 1.90GHz,,True,False,1.6787265827161947e-06,95.0
client,32.865528742507365,7.255526222775166e-08,training,Intel(R) Core(TM) i7-8650U CPU @ 1.90GHz,,True,False,2.207640193352821e-06,108.0
server,32.865528742507365,1.551310847066121e-08,aggregation,Intel(R) Core(TM) i7-8650U CPU @ 1.90GHz,None,True,False,4.7201761432783467e-07,0.0
